"revenue","outcalls","incalls","months","eqpdays","webcap","marryyes","travel","pcown","creditcd","retcalls","churndep"
70.85,111.33,1.0,8.0,189.0,"1","0","0","0","0",2.0,"1"
73.55,18.33,1.33,14.0,242.0,"1","0","0","0","0",2.0,"1"
31.53,2.67,0.0,39.0,1165.0,"0","0","0","0","1",1.0,"1"
29.39,7.67,3.0,13.0,377.0,"1","0","0","0","1",2.0,"1"
28.87,0.33,0.0,6.0,184.0,"1","1","0","0","0",2.0,"1"
22.74,16.0,7.33,13.0,386.0,"1","0","0","0","1",2.0,"1"
25.75,1.0,0.0,42.0,1272.0,"1","0","0","0","0",1.0,"1"
23.12,7.0,0.33,38.0,1144.0,"0","0","0","0","1",1.0,"1"
5.0,0.0,0.0,43.0,1301.0,"1","0","0","0","0",1.0,"1"
20.07,0.0,0.0,38.0,1142.0,"0","1","0","0","1",1.0,"1"
35.8,0.0,0.0,22.0,239.0,"0","0","0","0","1",2.0,"1"
85.44,0.67,0.67,34.0,1022.0,"0","0","0","1","1",1.0,"1"
19.59,0.0,0.0,37.0,1117.0,"0","0","0","1","1",1.0,"1"
36.44,14.33,2.67,15.0,255.0,"1","0","0","0","0",2.0,"1"
78.43,39.67,3.0,23.0,396.0,"1","0","0","0","1",2.0,"1"
10.25,2.67,1.0,12.0,344.0,"1","0","0","0","1",2.0,"1"
163.97,59.67,8.33,17.0,238.0,"1","1","0","0","1",2.0,"1"
74.82,10.33,1.0,11.0,139.0,"1","0","0","0","0",2.0,"1"
24.45,1.33,0.0,36.0,1073.0,"0","0","0","0","1",1.0,"1"
5.0,0.0,0.0,36.0,1091.0,"0","0","0","0","1",1.0,"1"
22.54,0.0,0.0,35.0,1061.0,"0","1","0","0","1",1.0,"1"
56.63,13.0,1.33,21.0,259.0,"1","0","0","0","0",2.0,"1"
110.89,5.0,0.0,8.0,60.0,"1","0","0","0","0",2.0,"1"
23.12,2.33,4.0,36.0,1081.0,"0","1","0","0","1",1.0,"1"
37.75,3.67,0.0,29.0,872.0,"0","0","0","0","0",1.0,"1"
55.39,4.0,0.0,33.0,990.0,"0","1","0","0","1",1.0,"1"
7.75,0.0,0.0,36.0,1072.0,"0","0","0","1","1",1.0,"1"
29.99,0.0,0.0,34.0,1022.0,"0","1","0","1","1",1.0,"1"
91.52,35.33,12.0,28.0,822.0,"0","0","0","0","0",1.0,"1"
70.89,29.33,7.33,39.0,943.0,"0","0","0","0","0",1.0,"1"
13.25,0.0,0.0,28.0,865.0,"0","0","0","0","0",1.0,"1"
35.24,17.0,2.0,14.0,278.0,"1","1","0","0","1",2.0,"1"
30.0,0.67,0.0,32.0,983.0,"0","0","0","0","1",1.0,"1"
46.95,24.0,0.67,34.0,981.0,"0","1","0","1","1",1.0,"1"
75.84,19.67,7.33,12.0,220.0,"1","1","0","0","1",2.0,"1"
243.49,21.33,4.67,33.0,960.0,"1","0","0","0","1",1.0,"1"
70.53,42.33,21.67,28.0,324.0,"1","0","0","0","0",2.0,"1"
30.24,2.33,0.0,32.0,955.0,"0","0","0","1","1",1.0,"1"
26.66,8.67,0.67,37.0,1102.0,"1","0","0","0","0",1.0,"1"
46.14,13.0,3.67,25.0,768.0,"0","0","0","0","0",1.0,"1"
34.22,4.33,0.0,33.0,953.0,"0","1","0","1","1",1.0,"1"
41.31,1.0,0.0,31.0,922.0,"0","0","0","0","1",1.0,"1"
19.39,3.0,0.0,14.0,146.0,"1","0","0","0","0",2.0,"1"
58.16,15.33,2.33,25.0,738.0,"0","0","0","0","0",1.0,"1"
4.8,0.0,0.0,26.0,794.0,"0","0","0","0","0",1.0,"1"
36.75,0.0,0.0,29.0,889.0,"0","1","0","0","1",1.0,"1"
29.99,2.67,0.33,35.0,1041.0,"1","0","0","0","0",1.0,"1"
24.99,0.67,0.0,34.0,1034.0,"1","0","0","0","0",1.0,"1"
30.1,1.33,0.0,25.0,739.0,"0","0","0","0","0",1.0,"1"
13.25,0.0,0.0,38.0,263.0,"0","1","0","1","1",2.0,"1"
53.24,0.0,0.0,31.0,334.0,"1","0","0","1","1",2.0,"1"
57.36,0.0,0.0,20.0,105.0,"1","0","0","0","0",2.0,"1"
41.04,5.67,0.33,28.0,826.0,"0","0","0","0","1",1.0,"1"
46.57,7.0,3.0,26.0,285.0,"1","0","0","0","1",2.0,"1"
64.4,13.67,3.33,22.0,119.0,"1","0","0","0","0",2.0,"1"
18.63,17.67,6.0,24.0,716.0,"0","0","0","0","0",1.0,"1"
44.72,118.33,70.33,28.0,403.0,"1","0","0","0","0",2.0,"1"
16.99,0.0,0.0,29.0,853.0,"0","0","0","1","1",1.0,"1"
34.09,1.33,0.0,21.0,648.0,"0","1","0","0","0",1.0,"1"
53.38,19.33,15.67,39.0,961.0,"0","1","0","1","1",1.0,"1"
38.99,1.67,0.0,27.0,801.0,"0","0","0","0","1",1.0,"1"
10.0,0.0,0.0,45.0,1009.0,"0","1","0","1","1",1.0,"1"
36.16,0.0,0.0,36.0,1080.0,"1","0","0","0","1",1.0,"1"
54.48,17.33,3.0,21.0,617.0,"0","0","0","0","0",1.0,"1"
30.09,1.67,0.0,36.0,1084.0,"1","0","0","0","1",1.0,"1"
6.5,0.0,0.0,28.0,832.0,"0","0","0","1","1",1.0,"1"
44.09,1.67,0.33,30.0,902.0,"1","0","0","0","0",1.0,"1"
31.24,0.0,0.0,9.0,86.0,"1","1","0","0","1",2.0,"1"
111.7,57.0,4.67,53.0,1592.0,"0","0","0","0","0",0.0,"1"
88.15,37.33,16.33,13.0,98.0,"1","0","0","0","1",2.0,"1"
53.43,13.67,0.0,28.0,852.0,"1","0","0","0","0",1.0,"1"
34.22,17.33,4.33,26.0,773.0,"0","1","0","0","1",1.0,"1"
30.01,4.0,0.67,25.0,755.0,"0","1","0","0","1",1.0,"1"
38.74,4.0,0.0,24.0,732.0,"0","0","0","0","1",1.0,"1"
52.55,14.33,0.0,28.0,839.0,"1","0","0","0","0",1.0,"1"
30.71,6.0,0.0,24.0,727.0,"0","0","0","0","1",1.0,"1"
30.98,4.0,0.33,23.0,196.0,"1","0","0","0","1",2.0,"1"
29.99,0.0,0.0,12.0,82.0,"1","0","0","0","1",2.0,"1"
50.0,6.0,0.67,23.0,689.0,"0","1","0","0","1",1.0,"1"
25.17,9.67,0.33,34.0,1022.0,"1","1","0","0","1",1.0,"1"
35.36,3.33,0.67,29.0,143.0,"1","0","0","0","0",2.0,"1"
88.06,8.67,0.0,15.0,39.0,"1","0","0","0","1",2.0,"1"
35.78,15.67,7.33,29.0,871.0,"1","0","0","0","0",1.0,"1"
295.52,11.0,0.67,14.0,412.0,"1","0","0","0","0",1.0,"1"
154.07,0.33,0.0,27.0,800.0,"1","0","0","0","1",1.0,"1"
15.0,0.33,2.0,34.0,1023.0,"1","1","0","0","1",1.0,"1"
29.99,7.0,0.0,27.0,822.0,"1","0","0","0","0",1.0,"1"
36.4,12.67,12.33,30.0,883.0,"1","0","0","0","0",1.0,"1"
37.27,27.33,3.0,18.0,532.0,"0","0","0","0","0",1.0,"1"
30.25,2.0,0.0,21.0,561.0,"0","0","0","0","0",1.0,"1"
288.21,81.67,15.33,15.0,455.0,"1","0","0","0","0",1.0,"1"
6.49,4.67,2.0,24.0,722.0,"0","0","0","1","1",1.0,"1"
56.28,3.33,0.0,51.0,1548.0,"0","0","0","0","0",0.0,"1"
116.03,9.33,0.33,27.0,816.0,"1","0","0","1","1",1.0,"1"
30.0,4.0,0.0,23.0,672.0,"0","0","0","0","1",1.0,"1"
15.27,2.33,9.33,19.0,572.0,"0","0","0","0","0",1.0,"1"
80.26,17.0,3.33,50.0,1515.0,"0","0","0","0","0",0.0,"1"
15.0,2.33,1.0,22.0,675.0,"0","1","0","0","1",1.0,"1"
19.27,31.0,7.33,15.0,96.0,"1","1","0","0","1",2.0,"1"
19.6,1.33,0.33,23.0,678.0,"0","0","0","1","1",1.0,"1"
68.6,20.33,0.0,30.0,884.0,"1","0","0","0","1",1.0,"1"
62.53,19.33,1.0,25.0,737.0,"1","0","0","0","0",1.0,"1"
63.5,28.33,12.33,31.0,933.0,"1","1","0","0","1",1.0,"1"
60.29,15.0,1.67,20.0,596.0,"0","1","0","0","1",1.0,"1"
43.57,27.0,6.33,26.0,780.0,"1","1","0","0","0",1.0,"1"
63.74,48.33,11.33,21.0,630.0,"0","0","0","1","1",1.0,"1"
147.59,53.0,21.33,25.0,88.0,"1","0","0","0","1",2.0,"1"
58.49,41.0,23.0,39.0,855.0,"0","0","0","0","1",1.0,"1"
50.49,21.67,4.67,56.0,1698.0,"0","1","0","0","1",0.0,"1"
14.19,0.0,0.0,32.0,232.0,"1","0","0","0","1",2.0,"1"
30.49,3.67,0.33,52.0,1554.0,"0","0","0","0","0",0.0,"1"
4.84,0.0,0.0,21.0,643.0,"0","1","0","0","1",1.0,"1"
186.17,36.0,1.33,17.0,498.0,"1","0","0","0","0",1.0,"1"
24.39,6.0,0.33,13.0,13.0,"1","1","0","0","1",2.0,"1"
41.54,18.67,4.67,24.0,731.0,"1","0","0","0","0",1.0,"1"
36.25,0.0,0.0,51.0,1523.0,"0","0","0","0","0",0.0,"1"
30.0,0.0,0.0,55.0,1669.0,"0","1","0","0","1",0.0,"1"
30.38,3.33,0.0,29.0,877.0,"1","1","0","1","1",1.0,"1"
41.33,2.33,0.0,23.0,699.0,"1","0","0","0","0",1.0,"1"
102.82,1.0,0.0,40.0,91.0,"1","0","0","0","0",2.0,"1"
22.49,7.0,0.67,24.0,726.0,"1","0","0","0","0",1.0,"1"
45.39,12.67,1.67,34.0,195.0,"1","1","0","1","1",2.0,"1"
40.0,0.33,0.0,48.0,1462.0,"0","0","0","0","0",0.0,"1"
45.48,17.0,7.0,21.0,483.0,"0","1","0","1","0",1.0,"1"
16.14,0.0,0.0,55.0,1661.0,"0","1","1","1","1",0.0,"1"
17.81,0.33,0.0,28.0,856.0,"1","1","0","0","1",1.0,"1"
51.33,3.33,0.0,22.0,654.0,"1","0","0","0","0",1.0,"1"
30.73,7.0,0.0,24.0,604.0,"0","1","0","0","1",1.0,"1"
94.97,59.67,16.67,24.0,63.0,"1","0","0","0","1",2.0,"1"
5.0,0.0,0.0,28.0,865.0,"1","1","0","1","1",1.0,"1"
46.96,25.33,9.0,23.0,692.0,"1","0","0","0","0",1.0,"1"
170.76,90.33,7.33,15.0,469.0,"1","0","0","0","0",1.0,"1"
33.24,3.33,0.0,28.0,833.0,"1","1","1","1","1",1.0,"1"
32.53,3.33,3.33,27.0,832.0,"1","0","0","0","1",1.0,"1"
29.99,2.33,0.33,18.0,538.0,"0","1","0","0","1",1.0,"1"
62.98,7.67,0.67,21.0,622.0,"1","0","0","0","0",1.0,"1"
90.25,8.33,7.33,54.0,1475.0,"0","0","0","0","0",0.0,"1"
10.68,0.0,0.0,19.0,564.0,"0","0","0","1","1",1.0,"1"
51.14,7.33,1.33,53.0,1590.0,"0","0","0","0","1",0.0,"1"
7.12,0.33,0.0,54.0,1638.0,"0","1","0","1","1",0.0,"1"
34.63,0.0,0.0,27.0,805.0,"1","0","0","0","1",1.0,"1"
30.2,5.0,6.0,28.0,837.0,"1","0","0","0","1",1.0,"1"
65.56,4.67,0.33,25.0,750.0,"1","0","0","1","1",1.0,"1"
60.2,10.67,1.0,19.0,592.0,"1","0","0","0","0",1.0,"1"
16.25,31.67,0.33,23.0,679.0,"1","0","0","0","0",1.0,"1"
150.0,0.0,0.0,16.0,458.0,"1","0","0","0","0",1.0,"1"
47.04,1.33,0.67,25.0,766.0,"1","1","0","0","1",1.0,"1"
11.68,0.0,0.0,17.0,524.0,"0","1","0","0","1",1.0,"1"
23.5,0.0,0.0,53.0,1595.0,"0","1","0","1","1",0.0,"1"
33.74,0.0,0.33,26.0,784.0,"1","0","0","0","1",1.0,"1"
29.98,0.0,0.0,27.0,797.0,"1","1","0","0","1",1.0,"1"
19.05,1.67,0.0,52.0,1588.0,"0","0","0","0","1",0.0,"1"
53.36,21.67,7.0,21.0,627.0,"1","0","0","0","0",1.0,"1"
102.4,23.67,0.0,22.0,658.0,"1","0","0","0","1",1.0,"1"
2.54,0.0,0.0,53.0,1608.0,"0","0","0","0","1",0.0,"1"
50.0,0.0,0.0,51.0,1535.0,"0","0","0","0","1",0.0,"1"
10.0,0.0,0.0,27.0,809.0,"1","0","1","0","1",1.0,"1"
35.07,26.67,4.33,20.0,617.0,"1","0","0","0","0",1.0,"1"
102.08,18.0,3.67,19.0,527.0,"1","0","0","0","0",1.0,"1"
91.89,55.0,8.33,23.0,695.0,"1","0","0","0","1",1.0,"1"
29.99,1.67,0.0,25.0,756.0,"1","1","1","1","1",1.0,"1"
26.64,5.33,0.0,16.0,473.0,"0","0","0","0","1",1.0,"1"
40.06,7.33,0.33,25.0,745.0,"1","1","0","0","1",1.0,"1"
67.49,2.33,1.0,24.0,706.0,"1","0","0","0","1",1.0,"1"
85.09,7.33,5.0,33.0,786.0,"1","0","1","1","1",1.0,"1"
26.61,6.67,0.0,25.0,750.0,"1","1","0","1","1",1.0,"1"
78.14,43.0,3.0,23.0,681.0,"1","1","0","0","1",1.0,"1"
68.6,35.67,7.67,18.0,546.0,"1","0","0","0","0",1.0,"1"
53.26,5.0,0.0,23.0,694.0,"1","0","0","0","1",1.0,"1"
63.48,0.0,0.0,24.0,500.0,"0","0","1","1","1",1.0,"1"
33.07,7.0,0.67,18.0,561.0,"1","0","0","0","0",1.0,"1"
22.6,0.0,0.0,25.0,745.0,"1","1","0","0","1",1.0,"1"
28.47,8.0,0.0,10.0,287.0,"0","0","0","0","0",1.0,"1"
41.09,11.0,0.0,49.0,1493.0,"0","0","0","0","1",0.0,"1"
31.8,2.33,0.33,15.0,437.0,"0","1","0","0","1",1.0,"1"
5.05,0.0,0.0,20.0,607.0,"1","0","0","0","0",1.0,"1"
11.4,19.67,0.33,41.0,817.0,"1","0","0","0","0",1.0,"1"
41.97,4.67,1.33,24.0,417.0,"0","0","0","0","0",1.0,"1"
79.56,42.33,4.67,49.0,1462.0,"0","1","0","0","1",0.0,"1"
166.57,13.67,2.0,11.0,148.0,"0","0","0","0","0",1.0,"1"
35.8,2.0,0.0,24.0,715.0,"1","0","1","1","1",1.0,"1"
109.84,37.67,9.0,16.0,474.0,"1","0","0","0","0",1.0,"1"
115.59,55.33,23.33,22.0,676.0,"1","0","0","0","1",1.0,"1"
29.99,2.67,0.67,19.0,566.0,"1","0","0","0","0",1.0,"1"
23.49,3.33,0.0,25.0,736.0,"1","1","0","0","1",1.0,"1"
26.24,3.0,0.0,24.0,721.0,"1","1","0","1","1",1.0,"1"
85.59,31.67,4.67,21.0,638.0,"1","0","0","0","1",1.0,"1"
30.0,1.67,0.33,50.0,1506.0,"0","1","0","0","1",0.0,"1"
78.36,14.0,0.0,16.0,475.0,"1","0","0","0","0",1.0,"1"
32.67,0.67,0.0,23.0,700.0,"1","1","1","1","1",1.0,"1"
47.59,17.33,2.33,13.0,394.0,"0","0","0","0","1",1.0,"1"
39.25,10.0,0.0,18.0,537.0,"1","0","0","0","0",1.0,"1"
76.99,29.33,7.33,18.0,518.0,"1","0","0","0","0",1.0,"1"
17.29,0.0,0.0,45.0,1360.0,"0","0","0","0","0",0.0,"1"
38.25,43.33,12.33,25.0,749.0,"1","0","0","1","1",1.0,"1"
16.3,8.0,2.0,25.0,741.0,"1","0","0","0","1",1.0,"1"
89.13,0.0,0.0,15.0,449.0,"1","0","0","0","0",1.0,"1"
17.49,0.0,0.0,51.0,1523.0,"0","1","0","0","1",0.0,"1"
29.99,2.67,0.33,23.0,699.0,"1","1","0","0","1",1.0,"1"
197.09,54.67,3.0,14.0,431.0,"1","1","0","0","1",1.0,"1"
89.48,31.67,7.67,16.0,480.0,"1","0","0","0","0",1.0,"1"
174.13,0.0,0.0,15.0,455.0,"1","0","0","0","1",1.0,"1"
10.0,0.0,0.0,24.0,726.0,"1","0","0","0","1",1.0,"1"
75.24,4.33,0.0,27.0,582.0,"1","0","0","0","0",1.0,"1"
119.66,59.67,9.67,33.0,432.0,"0","0","0","0","0",1.0,"1"
10.09,1.0,1.0,24.0,726.0,"1","1","0","1","1",1.0,"1"
28.36,0.0,0.0,23.0,692.0,"1","0","0","0","1",1.0,"1"
28.45,1.33,1.0,26.0,12.0,"1","0","0","0","1",2.0,"1"
63.52,12.67,2.0,16.0,482.0,"1","1","0","0","0",1.0,"1"
5.0,0.0,0.0,20.0,579.0,"1","0","0","0","0",1.0,"1"
29.99,0.0,0.0,44.0,1321.0,"0","0","0","0","0",0.0,"1"
34.99,0.0,0.0,44.0,1315.0,"0","0","0","0","0",0.0,"1"
36.31,0.33,0.0,22.0,667.0,"1","0","0","0","1",1.0,"1"
861.11,0.0,0.0,7.0,224.0,"1","0","0","0","0",0.0,"1"
38.13,2.67,0.0,49.0,1464.0,"0","1","0","1","1",0.0,"1"
10.0,0.0,0.0,50.0,1503.0,"0","0","0","1","1",0.0,"1"
29.99,1.33,0.0,17.0,424.0,"0","1","0","0","1",1.0,"1"
72.2,11.0,0.67,15.0,448.0,"1","0","0","0","0",1.0,"1"
33.81,0.0,0.0,49.0,1463.0,"0","0","0","1","1",0.0,"1"
82.91,20.33,4.33,21.0,611.0,"1","0","0","0","1",1.0,"1"
52.82,1.67,0.0,47.0,1419.0,"0","1","0","0","1",0.0,"1"
34.99,12.33,0.0,22.0,658.0,"1","1","0","0","1",1.0,"1"
125.39,23.33,0.0,12.0,352.0,"1","0","0","0","0",1.0,"1"
26.94,0.0,0.0,48.0,1455.0,"0","0","0","1","1",0.0,"1"
20.0,0.33,0.0,49.0,1472.0,"0","0","0","0","1",0.0,"1"
26.49,39.0,0.0,22.0,664.0,"1","1","0","1","1",1.0,"1"
34.39,11.0,3.67,22.0,666.0,"1","1","0","1","1",1.0,"1"
21.5,1.33,0.0,48.0,1458.0,"0","1","0","1","1",0.0,"1"
52.88,23.0,2.0,21.0,629.0,"1","0","0","1","1",1.0,"1"
19.62,0.0,0.0,17.0,513.0,"1","0","0","0","0",1.0,"1"
51.77,19.67,3.0,17.0,487.0,"1","0","0","0","0",1.0,"1"
27.21,0.0,0.0,22.0,659.0,"1","1","0","1","1",1.0,"1"
59.95,0.0,0.0,45.0,1382.0,"0","1","0","1","1",0.0,"1"
5.0,0.0,0.0,39.0,665.0,"0","1","0","1","1",1.0,"1"
18.99,2.0,0.0,23.0,676.0,"1","0","0","0","1",1.0,"1"
66.71,13.67,3.0,15.0,447.0,"1","0","0","0","0",1.0,"1"
95.8,14.33,0.67,24.0,411.0,"0","0","0","0","1",1.0,"1"
135.07,131.0,19.0,18.0,554.0,"1","0","0","0","1",1.0,"1"
60.06,4.0,1.67,30.0,707.0,"1","0","0","1","1",1.0,"1"
25.99,2.67,0.67,17.0,502.0,"1","0","0","0","0",1.0,"1"
50.0,2.33,0.67,21.0,620.0,"1","1","0","0","1",1.0,"1"
91.1,57.67,0.0,12.0,376.0,"1","0","0","0","0",1.0,"1"
21.55,3.67,0.0,48.0,1448.0,"0","1","0","0","1",0.0,"1"
190.71,29.0,14.33,29.0,589.0,"1","1","0","0","1",1.0,"1"
65.08,16.67,4.67,15.0,448.0,"1","0","0","0","0",1.0,"1"
31.26,8.67,0.0,47.0,1425.0,"0","1","0","0","1",0.0,"1"
46.64,2.0,0.67,41.0,1245.0,"0","0","0","0","0",0.0,"1"
24.23,2.0,0.0,11.0,345.0,"0","0","0","0","1",1.0,"1"
37.76,1.67,0.0,21.0,627.0,"1","0","1","0","1",1.0,"1"
29.99,2.67,0.0,48.0,1436.0,"0","0","0","0","1",0.0,"1"
17.15,0.0,0.0,42.0,1284.0,"0","0","0","0","0",0.0,"1"
16.78,0.0,0.0,18.0,514.0,"1","0","0","0","0",1.0,"1"
74.85,0.0,0.0,14.0,409.0,"1","0","0","0","0",1.0,"1"
36.42,0.0,0.0,47.0,1415.0,"0","1","0","0","1",0.0,"1"
47.5,24.33,22.0,49.0,1490.0,"0","1","0","0","1",0.0,"1"
25.59,0.0,0.0,21.0,634.0,"1","1","0","1","1",1.0,"1"
30.26,6.67,1.33,21.0,632.0,"1","1","0","1","1",1.0,"1"
136.36,4.0,0.0,10.0,294.0,"1","1","0","0","0",1.0,"1"
2.7,0.0,0.0,23.0,677.0,"1","0","0","0","1",1.0,"1"
60.78,1.0,0.0,44.0,1351.0,"0","1","0","0","1",0.0,"1"
29.99,0.67,0.0,46.0,1404.0,"0","1","0","0","1",0.0,"1"
103.27,2.67,0.67,43.0,1295.0,"0","0","0","0","1",0.0,"1"
121.96,20.67,1.67,11.0,322.0,"1","0","0","0","0",1.0,"1"
101.52,50.33,15.0,19.0,570.0,"1","0","0","0","1",1.0,"1"
12.74,0.0,0.0,22.0,652.0,"1","1","0","1","1",1.0,"1"
16.99,0.0,0.0,47.0,1427.0,"0","1","0","0","1",0.0,"1"
35.19,49.33,22.33,19.0,561.0,"1","0","0","0","0",1.0,"1"
34.99,1.0,0.0,47.0,1407.0,"0","1","0","0","1",0.0,"1"
33.72,0.0,0.0,10.0,308.0,"0","0","0","0","1",1.0,"1"
22.49,8.33,1.0,20.0,619.0,"1","0","0","1","1",1.0,"1"
30.27,0.33,0.0,35.0,567.0,"0","0","0","0","1",1.0,"1"
38.8,10.0,0.0,19.0,585.0,"1","0","1","1","1",1.0,"1"
20.53,0.0,0.0,20.0,615.0,"1","0","0","0","1",1.0,"1"
31.52,0.33,0.0,10.0,306.0,"0","1","0","0","1",1.0,"1"
30.1,10.67,10.33,26.0,698.0,"1","1","0","0","1",1.0,"1"
50.25,14.67,0.0,46.0,1371.0,"0","1","0","1","1",0.0,"1"
20.66,12.33,0.0,21.0,623.0,"1","0","1","0","1",1.0,"1"
26.73,7.67,0.0,46.0,1396.0,"0","1","0","1","1",0.0,"1"
51.87,2.67,0.33,13.0,403.0,"1","0","0","0","0",1.0,"1"
10.0,0.0,0.0,17.0,489.0,"1","0","0","0","0",1.0,"1"
40.56,1.33,0.0,40.0,1214.0,"0","0","0","0","0",0.0,"1"
24.94,0.0,0.0,41.0,1240.0,"0","0","0","0","0",0.0,"1"
30.62,7.0,0.0,45.0,1378.0,"0","1","0","1","1",0.0,"1"
22.5,10.0,5.33,21.0,633.0,"1","0","0","0","1",1.0,"1"
41.37,21.0,6.67,20.0,606.0,"1","1","0","1","1",1.0,"1"
31.96,1.33,0.33,19.0,586.0,"1","1","1","1","1",1.0,"1"
49.87,33.0,1.33,19.0,567.0,"1","1","0","0","1",1.0,"1"
79.58,50.33,7.67,12.0,378.0,"1","0","0","0","0",1.0,"1"
48.11,17.0,2.0,40.0,1206.0,"0","0","0","0","0",0.0,"1"
74.51,63.0,13.33,14.0,421.0,"1","0","0","0","0",1.0,"1"
20.3,0.67,0.0,41.0,1240.0,"0","0","0","0","0",0.0,"1"
35.02,12.0,1.33,41.0,1228.0,"0","0","0","0","0",0.0,"1"
104.72,32.67,8.0,12.0,351.0,"1","0","0","0","0",1.0,"1"
253.47,84.33,1.0,28.0,333.0,"1","1","0","0","0",1.0,"1"
15.24,16.0,1.67,18.0,489.0,"1","0","0","0","0",1.0,"1"
54.83,17.67,1.67,19.0,559.0,"1","0","0","0","1",1.0,"1"
60.11,43.67,13.33,43.0,541.0,"0","0","0","0","0",1.0,"1"
55.81,12.67,0.67,13.0,389.0,"1","0","0","0","0",1.0,"1"
54.45,12.0,0.33,13.0,387.0,"1","0","0","0","0",1.0,"1"
36.73,2.67,0.33,19.0,571.0,"1","1","1","1","1",1.0,"1"
48.2,3.67,1.67,39.0,1186.0,"0","0","0","0","0",0.0,"1"
111.26,26.33,6.67,16.0,476.0,"1","0","0","0","1",1.0,"1"
71.86,18.33,0.0,27.0,419.0,"0","1","0","0","1",1.0,"1"
29.99,0.0,0.0,14.0,420.0,"1","0","0","0","0",1.0,"1"
67.34,62.0,28.33,22.0,651.0,"1","1","0","0","1",1.0,"1"
32.28,2.67,0.0,45.0,1362.0,"0","1","0","0","1",0.0,"1"
71.76,2.67,1.67,17.0,513.0,"1","0","0","1","1",1.0,"1"
12.99,0.0,0.0,25.0,552.0,"1","0","0","0","0",1.0,"1"
22.43,4.33,0.0,10.0,295.0,"0","1","0","0","1",1.0,"1"
40.6,2.33,0.33,14.0,408.0,"1","0","0","0","0",1.0,"1"
25.79,0.0,0.33,46.0,1379.0,"0","0","0","0","1",0.0,"1"
10.24,0.0,0.0,15.0,448.0,"1","0","0","0","0",1.0,"1"
45.24,2.67,0.0,38.0,1169.0,"0","0","0","0","0",0.0,"1"
61.48,57.33,13.0,19.0,575.0,"1","1","0","0","1",1.0,"1"
36.38,10.0,3.0,39.0,1197.0,"0","1","0","0","0",0.0,"1"
